capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
20,0.16354259999999998,0,8.566,1.5232,1.15,1.05,0.1016,0.0033,0.004,0.0002,0.0196,0.0299,0.0018,0.0007,0.0066,0.0001,0.0014,0.0015,0.0,0.0001,0.0092,0.0017,0.0005,0.0001,0.0008,0.0595,0.0116,0.0,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
21,0.17210859999999997,0,8.1056,1.6237,1.349,1.3339,0.0881,0.0014,0.0039,0.0002,0.0092,0.0173,0.0022,0.0007,0.0074,0.0002,0.0015,0.0015,0.0001,0.0002,0.0089,0.0011,0.0004,0.0001,0.0008,0.0473,0.0115,0.0001,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
22,0.18021419999999996,0,8.6714,1.7565,1.216,1.1921,0.113,0.0019,0.0043,0.0003,0.019,0.029,0.0023,0.0012,0.0098,0.0002,0.0013,0.0023,0.0001,0.0002,0.0087,0.0016,0.0004,0.0,0.001,0.0639,0.0121,0.0001,0.0011,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
23,0.18888559999999996,0,8.1876,1.853,1.5364,1.3302,0.1131,0.0021,0.0047,0.0003,0.0141,0.0237,0.0021,0.0011,0.0093,0.0001,0.0016,0.0023,0.0001,0.0001,0.0102,0.0013,0.0006,0.0001,0.001,0.0599,0.0166,0.0001,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
24,0.19707319999999995,0,8.3787,1.7703,1.362,1.662,0.1183,0.0034,0.0071,0.0003,0.0151,0.0295,0.0021,0.0012,0.0113,0.0001,0.002,0.0016,0.0001,0.0002,0.0103,0.0012,0.0011,0.0002,0.0012,0.0674,0.015,0.0,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
25,0.20545189999999994,0,8.5177,1.8283,1.5893,1.307,0.1726,0.0017,0.0062,0.0003,0.0744,0.0851,0.002,0.0012,0.0093,0.0002,0.0023,0.0018,0.0002,0.0005,0.01,0.0014,0.0006,0.0,0.0014,0.1221,0.0155,0.0001,0.0012,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
26,0.21396959999999993,0,8.0797,1.8286,1.3258,1.3212,0.1055,0.0018,0.0049,0.0003,0.0159,0.0255,0.0019,0.0012,0.0084,0.0002,0.0014,0.0019,0.0001,0.0001,0.0092,0.0014,0.0005,0.0001,0.001,0.0584,0.0126,0.0,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
27,0.22204929999999992,0,8.4114,1.7659,1.3326,1.4371,0.1081,0.0021,0.006,0.0003,0.0125,0.0239,0.0019,0.0009,0.0095,0.0002,0.0023,0.0018,0.0001,0.0001,0.0099,0.0012,0.0005,0.0001,0.001,0.0593,0.014,0.0001,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
28,0.23046069999999994,0,8.2463,1.9471,1.4068,1.5009,0.1087,0.0023,0.0049,0.0002,0.0156,0.0256,0.0019,0.0012,0.0112,0.0001,0.0019,0.0017,0.0005,0.0001,0.0094,0.0019,0.0005,0.0001,0.001,0.0628,0.0118,0.0001,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
29,0.23870699999999995,0,8.1814,1.8233,1.225,1.3623,0.0916,0.0012,0.0054,0.0003,0.0078,0.0173,0.0022,0.0008,0.0091,0.0002,0.0016,0.0017,0.0001,0.0001,0.0093,0.0013,0.0006,0.0001,0.0009,0.0499,0.0117,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
