capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
1220,10.168391199999999,0,8.3111,1.8309,1.9064,1.7019,0.1689,0.0029,0.006,0.0003,0.0357,0.047,0.0019,0.0012,0.0104,0.0001,0.0018,0.0014,0.0,0.0001,0.0083,0.0013,0.0005,0.0025,0.0001,0.0857,0.019,0.0001,0.0088,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1221,10.176702299999999,0,8.2442,1.7903,1.8645,1.6665,0.2019,0.0029,0.0053,0.0003,0.0308,0.0419,0.002,0.0007,0.0106,0.0001,0.002,0.0013,0.0001,0.0001,0.009,0.0011,0.0004,0.0025,0.0,0.0815,0.0533,0.0001,0.0105,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1222,10.184946499999999,0,8.2993,1.995,1.7663,1.779,0.1771,0.0029,0.0069,0.0001,0.0348,0.0469,0.0028,0.0007,0.0106,0.0002,0.0015,0.002,0.0,0.0001,0.0087,0.0015,0.0005,0.003,0.0001,0.0884,0.0187,0.0001,0.009,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1223,10.193245799999998,0,8.363,1.7674,1.6993,1.6076,0.1596,0.0033,0.0064,0.0001,0.029,0.0409,0.0019,0.0005,0.0089,0.0001,0.002,0.0015,0.0,0.0005,0.009,0.001,0.0004,0.0025,0.0,0.0786,0.0176,0.0001,0.0094,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1224,10.201608799999997,0,8.321,1.8508,1.8353,1.6557,0.1735,0.0025,0.0058,0.0001,0.0406,0.0514,0.0025,0.0008,0.0106,0.0002,0.0014,0.0017,0.0001,0.0001,0.0082,0.0012,0.0003,0.0029,0.0,0.0926,0.0196,0.0001,0.01,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1225,10.209929799999998,0,8.3419,1.8281,1.8258,1.6253,0.1731,0.0033,0.0083,0.0002,0.026,0.0407,0.0022,0.0007,0.0096,0.0001,0.0016,0.0019,0.0001,0.0001,0.0086,0.0012,0.0005,0.0034,0.0,0.0825,0.0176,0.0,0.0099,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1226,10.218271699999997,0,8.3833,1.7294,1.7093,1.8225,0.1596,0.0025,0.006,0.0001,0.0355,0.0464,0.0025,0.0006,0.0095,0.0001,0.0012,0.0018,0.0001,0.0001,0.0079,0.0011,0.0004,0.0025,0.0,0.0832,0.0173,0.0001,0.0106,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1227,10.226654999999997,0,8.4312,1.7889,1.9371,1.7052,0.1751,0.0027,0.007,0.0001,0.0271,0.0407,0.0021,0.0008,0.0098,0.0001,0.0013,0.002,0.0001,0.0001,0.0088,0.0015,0.0005,0.003,0.0,0.0812,0.0218,0.0001,0.0091,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1228,10.235086199999998,0,8.2294,1.9648,1.9123,1.9357,0.1779,0.0025,0.005,0.0001,0.0376,0.0486,0.003,0.0008,0.0118,0.0001,0.0015,0.0015,0.0001,0.0001,0.0086,0.0013,0.0004,0.0028,0.0001,0.0913,0.0191,0.0001,0.0096,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1229,10.243315599999997,0,8.2601,2.0082,1.677,1.6373,0.1483,0.0026,0.0063,0.0001,0.0271,0.0379,0.0022,0.0006,0.0085,0.0001,0.0014,0.0014,0.0001,0.0001,0.0082,0.0011,0.0004,0.0023,0.0,0.0734,0.0174,0.0,0.01,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
