file,audio_seconds,world_seconds,phase,weapon,ammo,reserve,operation
frame_00048.jpg,2.135478,4.122682,1,0,23,192,2
frame_00049.jpg,2.180172,4.166709,1,0,23,192,2
frame_00050.jpg,2.225267,4.211423,1,0,22,192,2
frame_00051.jpg,2.269407,4.256489,1,0,22,192,2
frame_00052.jpg,2.314458,4.300638,1,0,22,192,2
frame_00053.jpg,2.359377,4.345679,1,0,22,192,2
frame_00054.jpg,2.404307,4.390650,1,0,21,192,2
frame_00055.jpg,2.448709,4.435544,1,0,21,192,2
frame_00056.jpg,2.494139,4.480004,1,0,21,192,2
frame_00057.jpg,2.539865,4.525442,1,0,21,192,2
frame_00058.jpg,2.585773,4.571128,1,0,20,192,2
frame_00059.jpg,2.630486,4.617063,1,0,20,192,2
frame_00060.jpg,2.675106,4.661778,1,0,20,192,2
frame_00061.jpg,2.719239,4.706314,1,0,19,192,2
frame_00062.jpg,2.764095,4.750455,1,0,19,192,2
frame_00063.jpg,2.808993,4.795328,1,0,19,192,2
frame_00064.jpg,2.852891,4.840202,1,0,19,192,2
frame_00065.jpg,2.897963,4.884109,1,0,18,192,2
frame_00066.jpg,2.942230,4.929190,1,0,18,192,2
frame_00067.jpg,2.988593,4.973442,1,0,18,192,2
frame_00068.jpg,3.033413,5.019862,1,0,18,192,2
frame_00069.jpg,3.077325,5.064650,1,0,17,192,2
frame_00070.jpg,3.121953,5.108549,1,0,17,192,2
frame_00071.jpg,3.166594,5.153190,1,0,17,192,2
frame_00072.jpg,3.210604,5.197814,1,0,17,192,2
frame_00073.jpg,3.255244,5.241809,1,0,16,192,2
frame_00074.jpg,3.299168,5.286464,1,0,16,192,2
frame_00075.jpg,3.343684,5.330386,1,0,16,192,2
frame_00076.jpg,3.388199,5.374959,1,0,16,192,2
frame_00077.jpg,3.432552,5.419396,1,0,15,192,2
frame_00078.jpg,3.477177,5.463800,1,0,15,192,2
frame_00079.jpg,3.521974,5.508395,1,0,15,192,2
frame_00080.jpg,3.567152,5.553211,1,0,15,192,2
frame_00081.jpg,3.611969,5.598404,1,0,14,192,2
frame_00082.jpg,3.656370,5.643203,1,0,14,192,2
frame_00083.jpg,3.702116,5.687627,1,0,14,192,2
frame_00084.jpg,3.746896,5.733391,1,0,14,192,2
frame_00085.jpg,3.791428,5.778123,1,0,13,192,2
frame_00086.jpg,3.835697,5.822646,1,0,13,192,2
frame_00087.jpg,3.880263,5.866923,1,0,13,192,2
frame_00088.jpg,3.924814,5.911489,1,0,13,192,2
frame_00089.jpg,3.969036,5.956023,1,0,12,192,2
frame_00090.jpg,4.014037,6.000275,1,0,12,192,2
frame_00091.jpg,4.058890,6.045266,1,0,12,192,2
frame_00092.jpg,4.102648,6.090131,1,0,12,192,2
frame_00093.jpg,4.147266,6.133910,1,0,11,192,2
frame_00094.jpg,4.191731,6.178501,1,0,11,192,2
frame_00095.jpg,4.236322,6.222945,1,0,11,192,2
frame_00096.jpg,4.281434,6.267692,1,0,11,192,2
frame_00097.jpg,4.325727,6.312649,1,0,10,192,2
frame_00098.jpg,4.369327,6.356951,1,0,10,192,2
frame_00099.jpg,4.414064,6.400555,1,0,10,192,2
frame_00100.jpg,4.458291,6.445275,1,0,10,192,2
frame_00101.jpg,4.502938,6.489511,1,0,9,192,2
frame_00102.jpg,4.548710,6.534197,1,0,9,192,2
frame_00103.jpg,4.593586,6.580004,1,0,9,192,2
frame_00104.jpg,4.638194,6.624811,1,0,8,192,2
frame_00105.jpg,4.682925,6.669430,1,0,8,192,2
frame_00106.jpg,4.727349,6.714137,1,0,8,192,2
frame_00107.jpg,4.772718,6.758616,1,0,8,192,2
frame_00108.jpg,4.817952,6.803985,1,0,7,192,2
frame_00109.jpg,4.862597,6.849221,1,0,7,192,2
frame_00110.jpg,4.906433,6.893835,1,0,7,192,2
frame_00111.jpg,4.950869,6.937690,1,0,7,192,2
frame_00112.jpg,4.995898,6.982085,1,0,6,192,2
frame_00113.jpg,5.040183,7.027130,2,0,6,192,4
frame_00114.jpg,5.084899,7.071410,2,0,6,192,4
frame_00115.jpg,5.129664,7.116165,2,0,6,192,4
frame_00116.jpg,5.173425,7.160908,2,0,6,192,4
frame_00117.jpg,5.218616,7.204662,2,0,6,192,4
frame_00118.jpg,5.263209,7.249844,2,0,6,192,4
frame_00119.jpg,5.307053,7.294456,2,0,6,192,4
frame_00120.jpg,5.352303,7.338285,2,0,6,192,4
frame_00121.jpg,5.396813,7.383561,2,0,6,192,4
frame_00122.jpg,5.440606,7.428027,2,0,6,192,4
frame_00123.jpg,5.485417,7.471845,2,0,6,192,4
frame_00124.jpg,5.529858,7.516616,2,0,6,192,4
frame_00125.jpg,5.573410,7.561090,2,0,6,192,4
frame_00126.jpg,5.618149,7.604635,2,0,6,192,4
frame_00127.jpg,5.663082,7.649373,2,0,6,192,4
frame_00128.jpg,5.706766,7.694302,2,0,6,192,4
frame_00129.jpg,5.751433,7.737990,2,0,6,192,4
frame_00130.jpg,5.795558,7.782645,2,0,6,192,4
frame_00131.jpg,5.839723,7.826796,2,0,6,192,4
frame_00132.jpg,5.884060,7.870952,2,0,6,192,4
frame_00133.jpg,5.928090,7.915257,2,0,6,192,4
frame_00134.jpg,5.973686,7.959330,2,0,6,192,4
frame_00135.jpg,6.018693,8.004959,2,0,6,192,4
frame_00136.jpg,6.064404,8.049932,2,0,6,192,4
frame_00137.jpg,6.108708,8.095684,2,0,6,192,4
frame_00138.jpg,6.152892,8.139926,2,0,6,192,4
frame_00139.jpg,6.197262,8.184123,2,0,6,192,4
frame_00140.jpg,6.241822,8.228492,2,0,24,174,4
frame_00141.jpg,6.286064,8.273038,2,0,24,174,4
frame_00142.jpg,6.330697,8.317274,2,0,24,174,4
frame_00143.jpg,6.375094,8.361924,2,0,24,174,4
frame_00144.jpg,6.419235,8.406301,2,0,24,174,4
frame_00145.jpg,6.463806,8.450446,2,0,24,174,4
frame_00146.jpg,6.509089,8.495086,2,0,24,174,4
frame_00147.jpg,6.552819,8.540317,2,0,24,174,4
frame_00148.jpg,6.597092,8.584013,2,0,24,174,4
frame_00149.jpg,6.640593,8.628314,2,0,24,174,4
frame_00150.jpg,6.685492,8.671855,2,0,24,174,4
frame_00151.jpg,6.729835,8.716688,2,0,24,174,4
frame_00152.jpg,6.773927,8.761034,2,0,24,174,4
frame_00153.jpg,6.818888,8.805133,2,0,24,174,4
frame_00154.jpg,6.863102,8.850083,2,0,24,174,4
frame_00155.jpg,6.907111,8.894309,2,0,24,174,4
frame_00156.jpg,6.952808,8.938307,2,0,24,174,4
frame_00157.jpg,6.997417,8.984014,2,0,24,174,4
frame_00158.jpg,7.041828,9.028634,2,0,24,174,4
frame_00159.jpg,7.086359,9.073141,2,0,24,174,4
frame_00160.jpg,7.132056,9.117582,2,0,24,174,0
frame_00161.jpg,7.177162,9.163311,2,0,24,174,0
frame_00162.jpg,7.221463,9.208416,2,0,24,174,0
frame_00163.jpg,7.265315,9.252665,2,0,24,174,0
frame_00164.jpg,7.310581,9.296511,2,0,24,174,0
frame_00165.jpg,7.354986,9.341791,2,0,24,174,0
frame_00166.jpg,7.398737,9.386161,2,0,24,174,0
frame_00167.jpg,7.443434,9.429958,2,0,24,174,0
frame_00168.jpg,7.488734,9.474645,2,0,24,174,0
frame_00169.jpg,7.534704,9.519932,3,0,24,174,1
frame_00170.jpg,7.579051,9.565951,3,0,24,174,1
frame_00171.jpg,7.623292,9.610272,3,0,24,174,1
frame_00172.jpg,7.668018,9.654475,3,0,24,174,1
frame_00173.jpg,7.713154,9.699198,3,1,6,36,1
frame_00174.jpg,7.757222,9.744344,3,1,6,36,1
frame_00175.jpg,7.801623,9.788423,3,1,6,36,1
frame_00176.jpg,7.845980,9.832806,3,1,6,36,1
frame_00177.jpg,7.890300,9.877170,3,1,6,36,0
frame_00178.jpg,7.936611,9.921478,3,1,6,36,0
frame_00179.jpg,7.981003,9.967824,3,1,6,36,0
frame_00180.jpg,8.025431,10.012198,3,1,6,36,0
frame_00181.jpg,8.070425,10.056625,3,1,6,36,0
frame_00182.jpg,8.115225,10.101648,3,1,6,36,0
frame_00183.jpg,8.159278,10.146444,3,1,6,36,0
frame_00184.jpg,8.203159,10.190440,3,1,6,36,0
frame_00185.jpg,8.248956,10.234361,3,1,6,36,0
frame_00186.jpg,8.294344,10.280249,3,1,6,36,0
frame_00187.jpg,8.339106,10.325547,3,1,6,36,0
frame_00188.jpg,8.383009,10.370296,3,1,6,36,0
frame_00189.jpg,8.427328,10.414186,3,1,6,36,0
frame_00190.jpg,8.471709,10.458507,3,1,6,36,0
frame_00191.jpg,8.515280,10.502888,3,1,6,36,0
frame_00192.jpg,8.559333,10.546458,3,1,6,36,0
frame_00193.jpg,8.603984,10.590625,3,1,6,36,0
frame_00194.jpg,8.648674,10.635224,3,1,6,36,0
frame_00195.jpg,8.693337,10.679852,3,1,6,36,0
frame_00196.jpg,8.736728,10.724488,3,1,6,36,0
frame_00197.jpg,8.781166,10.767895,3,1,6,36,0
frame_00198.jpg,8.825507,10.812358,3,1,6,36,0
frame_00199.jpg,8.869559,10.856658,3,1,6,36,0
frame_00200.jpg,8.914125,10.900739,3,1,6,36,0
frame_00201.jpg,8.957840,10.945284,3,1,6,36,0
frame_00202.jpg,9.002266,10.989031,3,1,6,36,0
frame_00203.jpg,9.047655,11.033450,4,1,5,36,2
frame_00204.jpg,9.092929,11.078865,4,1,5,36,2
frame_00205.jpg,9.137029,11.124118,4,1,5,36,2
frame_00206.jpg,9.181998,11.168223,4,1,5,36,2
frame_00207.jpg,9.226877,11.213165,4,1,5,36,2
frame_00208.jpg,9.271620,11.258039,4,1,5,36,3
frame_00209.jpg,9.315933,11.302789,4,1,5,36,3
frame_00210.jpg,9.360981,11.347128,4,1,5,36,3
frame_00211.jpg,9.406204,11.392162,4,1,5,36,3
frame_00212.jpg,9.451577,11.437401,4,1,5,36,3
frame_00213.jpg,9.495775,11.482759,4,1,5,36,3
frame_00214.jpg,9.540521,11.526959,4,1,5,36,3
frame_00215.jpg,9.584922,11.571683,4,1,5,36,3
frame_00216.jpg,9.628802,11.616077,4,1,5,36,3
frame_00217.jpg,9.673881,11.659944,4,1,5,36,3
frame_00218.jpg,9.718794,11.705072,4,1,5,36,3
frame_00219.jpg,9.763466,11.749936,4,1,5,36,3
frame_00220.jpg,9.807665,11.794606,4,1,5,36,0
frame_00221.jpg,9.852670,11.838817,4,1,4,36,2
frame_00222.jpg,9.897295,11.883830,4,1,4,36,2
frame_00223.jpg,9.940863,11.928438,4,1,4,36,2
frame_00224.jpg,9.985908,11.972012,4,1,4,36,2
